STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,023090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2020-2039,47.58,37.54,48.20,58.81,45.73,40.27,54.87,36.43,36.67,41.55,47.08,55.97,61.38,59.84,55.21,50.91,45.94,40.34,39.69
ALBANY-AIRPORT-COMPARISON,009741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2020-2039,61.94,56.38,60.47,66.95,64.03,58.28,65.68,55.78,55.34,57.90,60.00,63.51,68.33,67.21,65.32,65.01,64.71,62.35,57.85
ALICE-SPRINGS-AIRPORT,015590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,24.35,23.81,26.53,28.88,18.27,22.94,25.79,20.09,25.94,21.43,26.39,31.77,32.63,29.83,24.18,17.15,19.20,18.47,25.11
AMBERLEY-AMO,040004,-27.63,152.71,r1i1p1,rcp26,CESM1-CAM5,2020-2039,44.62,49.50,49.90,40.23,38.89,48.71,40.57,48.17,52.88,50.86,49.45,49.40,44.61,39.62,36.45,33.89,39.44,43.35,47.36
BRISBANE-AERO,040842,-27.39,153.13,r1i1p1,rcp26,CESM1-CAM5,2020-2039,56.21,60.58,59.38,50.36,54.50,59.98,52.38,60.15,61.91,60.76,59.99,57.41,52.72,49.68,48.70,50.03,55.75,57.72,59.76
BROOME-AIRPORT,003003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2020-2039,48.63,64.88,45.18,32.35,52.12,58.59,38.71,64.28,67.81,59.23,41.70,34.60,29.66,32.32,35.08,46.01,54.60,55.76,62.57
CAIRNS-AERO,031011,-16.87,145.75,r1i1p1,rcp26,CESM1-CAM5,2020-2039,62.29,67.34,65.67,58.42,57.70,65.98,58.61,66.06,70.36,66.94,66.01,64.04,61.19,57.24,56.82,54.59,57.80,60.70,65.73
CANBERRA-AIRPORT-COMPARISON,070014,-35.3,149.2,r1i1p1,rcp26,CESM1-CAM5,2020-2039,45.92,37.13,46.36,55.54,44.53,39.82,51.96,35.70,39.89,40.80,45.54,52.75,59.16,56.96,50.51,47.81,44.60,41.17,36.20
CARNARVON-AIRPORT,006011,-24.89,113.67,r1i1p1,rcp26,CESM1-CAM5,2020-2039,52.90,56.65,53.35,50.16,51.46,55.29,50.54,57.45,56.76,55.50,53.02,51.52,49.68,51.16,49.63,50.32,50.90,53.17,55.65
CEDUNA-AMO,018012,-32.13,133.7,r1i1p1,rcp26,CESM1-CAM5,2020-2039,45.94,44.80,45.99,49.29,43.69,44.68,47.20,43.40,45.86,44.91,45.81,47.25,49.85,50.00,48.02,45.29,42.80,42.98,45.11
